Zonal Office,Area Office,Dealer Name,Inventory Location,Part Number,Part Description,Stock QTY,RATE,Amount
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1110AAAE310S,CRANK CASE ASSY RIGHT  (SENSOR),4,1221.87753,4887.51012
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1110AAANB00S,CRANK CASE ASSYRIGHT,9,2310.459329,20794.13396
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1110AACK000S,CRANK CASE ASSY RIGHT,1,1866.140227,1866.140227
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1120AAAE300S,CRANK CASE ASSY LEFT,1,1703.223223,1703.223223
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1120AAANB00S,CRANKCASE ASSY LEFT,26,2162.352962,56221.17701
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1120AACK000S,CRANK CASE ASSY LEFT,2,1962.409366,3924.818732
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1120AACK010S,CRANK CASE ASSY LEFT,1,2069.786482,2069.786482
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11330AAF400S,COVER COMP R CRANK CASE,1,1087.100735,1087.100735
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11330ABZ000S,COVER COMP R CRANKCASE,1,1352.951665,1352.951665
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11341AAE340S,COVER LEFT CRANK CASE,4,676.8460983,2707.384393
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11341AAGA00S,COVER LEFT CRANK CASE,1,564.2852592,564.2852592
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11341ABZ000S,COVER LEFT CRANKCASE,1,621.3062105,621.3062105
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11341ACK000S,COVER LEFT CRANK CASE,8,631.6736563,5053.38925
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11360AAE300S,COVER REAR L CRANK CASE,7,154.7711538,1083.398077
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,11360ABZ000S,COVER COMP REAR,2,278.4399704,556.8799408
